XLA,S,RHO,SDA,SDS,P(DOWN),P(IDLE),P(LOSS),MEAN_NS,MEANWTS,MEAN_NQ,MEANWTQ,MEAN_CL,RLWSR,RDLOS,RCLOS,P(CS_SH),P(DN_SK)
0.95,4,0,0.74432,0.70711,0.25823,0.29907,0.25397,0.722145,1.018926,0.27944,0.394281,2.396523,0.431908,0.241268,0.276824,0.22114,0.03709
0.95,8,0,0.74432,0.70711,0.18348,0.29062,0.18142,0.93469,1.199518,0.408792,0.523565,4.473537,0.513071,0.172347,0.264582,0.14266,0.04083
0.95,12,0,0.74432,0.70711,0.14949,0.28038,0.14809,1.074728,1.325427,0.5046,0.622987,6.553749,0.556222,0.140688,0.25309,0.10696,0.04253
0.95,16,0,0.74432,0.70711,0.12939,0.27217,0.12833,1.17842,1.423214,0.579979,0.703974,8.621704,0.583845,0.121912,0.244243,0.08586,0.04353
0.95,20,0,0.74432,0.70711,0.11601,0.26572,0.11515,1.259418,1.502425,0.641142,0.770964,10.678408,0.603196,0.109392,0.237411,0.07181,0.0442
0.95,24,0,0.74432,0.70711,0.10643,0.26058,0.10571,1.324816,1.567702,0.69183,0.826753,12.726365,0.617548,0.100425,0.232027,0.06175,0.04468
0.95,28,0,0.74432,0.70711,0.09923,0.25642,0.0986,1.378857,1.622049,0.734512,0.873502,14.767456,0.62863,0.093675,0.227696,0.05419,0.04504
0.95,32,0,0.74432,0.70711,0.09361,0.25301,0.09306,1.424297,1.667696,0.770913,0.912948,16.803033,0.637448,0.088406,0.224147,0.04829,0.04532
0.95,36,0,0.74432,0.70711,0.0891,0.25015,0.08861,1.463032,1.706359,0.802284,0.946481,18.834095,0.644632,0.084176,0.221192,0.04356,0.04554
0.95,40,0,0.74432,0.70711,0.0854,0.24774,0.08495,1.496425,1.73938,0.829563,0.975204,20.861416,0.650598,0.080704,0.218698,0.03967,0.04573
0.95,44,0,0.74432,0.70711,0.08231,0.24567,0.0819,1.525486,1.767808,0.853466,0.999992,22.885593,0.655629,0.077803,0.216568,0.03642,0.04588
0.95,48,0,0.74432,0.70711,0.07969,0.24389,0.07931,1.550981,1.79247,0.874554,1.021539,24.907109,0.659928,0.075342,0.21473,0.03367,0.04602
0.95,52,0,0.74432,0.70711,0.07743,0.24233,0.07708,1.573506,1.814018,0.893271,1.040398,26.926365,0.663644,0.073227,0.213129,0.0313,0.04613
0.95,56,0,0.74432,0.70711,0.07548,0.24097,0.07515,1.593534,1.832974,0.909976,1.057011,28.94366,0.666886,0.071391,0.211723,0.02925,0.04623
0.95,60,0,0.74432,0.70711,0.07376,0.23976,0.07345,1.61144,1.849753,0.924957,1.071735,30.959265,0.669739,0.069781,0.21048,0.02745,0.04631
0.95,64,0,0.74432,0.70711,0.07224,0.23868,0.07196,1.627532,1.864693,0.938456,1.084859,32.973402,0.672269,0.068358,0.209373,0.02586,0.04639
0.95,68,0,0.74432,0.70711,0.07089,0.23772,0.07062,1.64206,1.878069,0.95067,1.096617,34.986253,0.674527,0.067091,0.208382,0.02444,0.04646
0.95,72,0,0.74432,0.70711,0.06969,0.23685,0.06943,1.655232,1.890103,0.961764,1.107205,36.997976,0.676554,0.065956,0.20749,0.02317,0.04652
0.95,76,0,0.74432,0.70711,0.0686,0.23606,0.06835,1.667222,1.900982,0.971878,1.116782,39.008704,0.678384,0.064933,0.206683,0.02203,0.04657
0.95,80,0,0.74432,0.70711,0.06761,0.23535,0.06737,1.678176,1.910859,0.98113,1.125481,41.01855,0.680044,0.064006,0.20595,0.02099,0.04662
