XLA,MU,THT,DT1,DT2,N,S,RHO,SDA,SDS,P(DOWN),P(IDLE),P(LOSS),MEAN_NS,MEANWTS,MEAN_NQ,MEANWTQ,MEAN_CL,RLWSR,RDLOS,RCLOS,P(CS_SH),P(DN_SK)
0.8,1,0.1,1,2,4,4,0,0.88388,0.70711,0.24334,0.34523,0.23739,0.612439,1.003858,0.201015,0.329487,2.436908,0.401389,0.189914,0.208696,0.20551,0.03783
0.8,1,0.1,1,2,4,8,0,0.88388,0.70711,0.17237,0.34474,0.16929,0.764905,1.149608,0.282018,0.423175,4.515643,0.471109,0.135434,0.193457,0.13099,0.04138
0.8,1,0.1,1,2,4,12,0,0.88388,0.70711,0.14056,0.33928,0.13842,0.858152,1.243639,0.337995,0.490052,6.593779,0.50747,0.110734,0.181796,0.09759,0.04297
0.8,1,0.1,1,2,4,16,0,0.88388,0.70711,0.12191,0.33442,0.12025,0.923324,1.311863,0.379646,0.540964,8.657628,0.530417,0.0962,0.173382,0.078,0.0439
0.8,1,0.1,1,2,4,20,0,0.88388,0.70711,0.10956,0.33048,0.1082,0.971847,1.3639,0.411881,0.580679,10.709274,0.546308,0.086563,0.167129,0.06504,0.04452
0.8,1,0.1,1,2,4,24,0,0.88388,0.70711,0.10076,0.32731,0.09961,1.009452,1.404647,0.437523,0.612161,12.751778,0.55798,0.079688,0.162332,0.0558,0.04496
0.8,1,0.1,1,2,4,28,0,0.88388,0.70711,0.09416,0.32475,0.09316,1.039443,1.437165,0.458354,0.637488,14.787324,0.566916,0.074531,0.158552,0.04887,0.04529
0.8,1,0.1,1,2,4,32,0,0.88388,0.70711,0.08903,0.32264,0.08815,1.063894,1.463545,0.475568,0.658153,16.817432,0.573977,0.070517,0.155506,0.04348,0.04555
0.8,1,0.1,1,2,4,36,0,0.88388,0.70711,0.08492,0.32089,0.08413,1.084181,1.485265,0.489995,0.675245,18.843201,0.579693,0.067302,0.153005,0.03917,0.04575
0.8,1,0.1,1,2,4,40,0,0.88388,0.70711,0.08156,0.31942,0.08084,1.101259,1.503394,0.502235,0.68956,20.865457,0.584414,0.064668,0.150918,0.03564,0.04592
0.8,1,0.1,1,2,4,44,0,0.88388,0.70711,0.07875,0.31816,0.07809,1.115815,1.518712,0.512729,0.701689,22.88483,0.588376,0.062471,0.149152,0.03269,0.04606
0.8,1,0.1,1,2,4,48,0,0.88388,0.70711,0.07637,0.31708,0.07576,1.128352,1.531799,0.521809,0.712074,24.901812,0.591749,0.06061,0.147641,0.03019,0.04618
0.8,1,0.1,1,2,4,52,0,0.88388,0.70711,0.07433,0.31615,0.07377,1.139251,1.543093,0.529733,0.72105,26.916793,0.594652,0.059013,0.146334,0.02805,0.04628
0.8,1,0.1,1,2,4,56,0,0.88388,0.70711,0.07256,0.31533,0.07204,1.148805,1.552927,0.536698,0.728877,28.930087,0.597178,0.057628,0.145194,0.02619,0.04637
0.8,1,0.1,1,2,4,60,0,0.88388,0.70711,0.07101,0.31461,0.07052,1.157241,1.561559,0.542861,0.735755,30.941949,0.599394,0.056415,0.14419,0.02457,0.04645
0.8,1,0.1,1,2,4,64,0,0.88388,0.70711,0.06965,0.31396,0.06918,1.164739,1.569192,0.54835,0.741842,32.952585,0.601355,0.055344,0.143301,0.02313,0.04652
0.8,1,0.1,1,2,4,68,0,0.88388,0.70711,0.06843,0.31339,0.06799,1.171444,1.575987,0.553265,0.747264,34.962181,0.603101,0.054391,0.142507,0.02185,0.04658
0.8,1,0.1,1,2,4,72,0,0.88388,0.70711,0.06734,0.31288,0.06692,1.177471,1.582071,0.557689,0.752122,36.97083,0.604666,0.053539,0.141796,0.02071,0.04663
0.8,1,0.1,1,2,4,76,0,0.88388,0.70711,0.06636,0.31241,0.06596,1.182917,1.587549,0.56169,0.756497,38.978701,0.606076,0.05277,0.141154,0.01968,0.04668
0.8,1,0.1,1,2,4,80,0,0.88388,0.70711,0.06547,0.31199,0.06509,1.187861,1.592505,0.565323,0.760457,40.985878,0.607353,0.052075,0.140571,0.01875,0.04673
0.8,1,0.1,1,2,4,84,0,0.88388,0.70711,0.06466,0.31161,0.0643,1.192366,1.597011,0.568637,0.764058,42.992447,0.608516,0.051443,0.140042,0.0179,0.04677
0.8,1,0.1,1,2,4,88,0,0.88388,0.70711,0.06393,0.31126,0.06358,1.196488,1.601124,0.571671,0.767346,44.998427,0.609578,0.050865,0.139557,0.01712,0.0468
0.8,1,0.1,1,2,4,92,0,0.88388,0.70711,0.06325,0.31093,0.06292,1.200272,1.604891,0.574457,0.770358,47.003912,0.610552,0.050336,0.139113,0.01641,0.04684
0.8,1,0.1,1,2,4,96,0,0.88388,0.70711,0.06263,0.31064,0.06231,1.20376,1.608357,0.577025,0.77313,49.009032,0.611449,0.049848,0.138703,0.01576,0.04687
0.8,1,0.1,1,2,4,100,0,0.88388,0.70711,0.06205,0.31036,0.06175,1.206983,1.611555,0.579399,0.775687,51.013727,0.612277,0.049398,0.138325,0.01516,0.0469
0.8,1,0.1,1,2,4,104,0,0.88388,0.70711,0.06152,0.31011,0.06123,1.209971,1.614514,0.5816,0.778054,53.018131,0.613044,0.048981,0.137975,0.0146,0.04692
0.8,1,0.1,1,2,4,108,0,0.88388,0.70711,0.06103,0.30987,0.06074,1.212747,1.61726,0.583646,0.78025,55.022236,0.613757,0.048594,0.137649,0.01408,0.04695
0.8,1,0.1,1,2,4,112,0,0.88388,0.70711,0.06057,0.30965,0.06029,1.215334,1.619816,0.585553,0.782295,57.02599,0.614421,0.048233,0.137346,0.01359,0.04697
0.8,1,0.1,1,2,4,116,0,0.88388,0.70711,0.06014,0.30945,0.05987,1.21775,1.6222,0.587333,0.784202,59.029577,0.615041,0.047896,0.137063,0.01314,0.04699
0.8,1,0.1,1,2,4,120,0,0.88388,0.70711,0.05973,0.30926,0.05948,1.220014,1.624432,0.589002,0.785987,61.033101,0.615621,0.047581,0.136798,0.01272,0.04701
